relation,display_relation,x_id,x_name,x_type,y_id,y_name,y_type
indication,indication,DB01153,Sertaconazole,drug,5984,tinea pedis,disease
indication,indication,DB01086,Benzocaine,drug,5984,tinea pedis,disease
indication,indication,DB00857,Terbinafine,drug,5984,tinea pedis,disease
off-label use,off-label use,DB00196,Fluconazole,drug,5984,tinea pedis,disease
indication,indication,DB00793,Haloprogin,drug,5984,tinea pedis,disease
indication,indication,DB00936,Salicylic acid,drug,5984,tinea pedis,disease
indication,indication,DB00735,Naftifine,drug,5984,tinea pedis,disease
indication,indication,DB01026,Ketoconazole,drug,5984,tinea pedis,disease
indication,indication,DB00239,Oxiconazole,drug,5984,tinea pedis,disease
indication,indication,DB06820,Sulconazole,drug,5984,tinea pedis,disease
indication,indication,DB00741,Hydrocortisone,drug,5984,tinea pedis,disease
indication,indication,DB01380,Cortisone acetate,drug,5984,tinea pedis,disease
indication,indication,DB00443,Betamethasone,drug,5984,tinea pedis,disease
indication,indication,DB01188,Ciclopirox,drug,5984,tinea pedis,disease
indication,indication,DB01127,Econazole,drug,5984,tinea pedis,disease
indication,indication,DB00525,Tolnaftate,drug,5984,tinea pedis,disease
indication,indication,DB00257,Clotrimazole,drug,5984,tinea pedis,disease
indication,indication,DB01110,Miconazole,drug,5984,tinea pedis,disease
indication,indication,DB08933,Luliconazole,drug,5984,tinea pedis,disease
indication,indication,DB09345,Pramocaine,drug,5984,tinea pedis,disease
indication,indication,DB09321,Zinc oxide,drug,5984,tinea pedis,disease
indication,indication,DB04815,Clioquinol,drug,5984,tinea pedis,disease
indication,indication,DB00400,Griseofulvin,drug,5984,tinea pedis,disease
indication,indication,DB11117,Undecylenic acid,drug,5984,tinea pedis,disease
indication,indication,DB01091,Butenafine,drug,5984,tinea pedis,disease
indication,indication,DB00724,Imiquimod,drug,2954,superficial multifocal basal cell carcinoma,disease
indication,indication,DB00544,Fluorouracil,drug,2954,superficial multifocal basal cell carcinoma,disease
indication,indication,DB00724,Imiquimod,drug,5173,actinic keratosis (disease),disease
indication,indication,DB00724,Imiquimod,drug,5093,skin disease,disease
indication,indication,DB00724,Imiquimod,drug,8420,seborrheic keratosis,disease
indication,indication,DB00724,Imiquimod,drug,6563,inverted follicular keratosis,disease
indication,indication,DB05013,Ingenol mebutate,drug,5173,actinic keratosis (disease),disease
indication,indication,DB05013,Ingenol mebutate,drug,5093,skin disease,disease
indication,indication,DB05013,Ingenol mebutate,drug,8420,seborrheic keratosis,disease
indication,indication,DB05013,Ingenol mebutate,drug,6563,inverted follicular keratosis,disease
indication,indication,DB00544,Fluorouracil,drug,5173,actinic keratosis (disease),disease
indication,indication,DB00544,Fluorouracil,drug,5093,skin disease,disease
indication,indication,DB00544,Fluorouracil,drug,8420,seborrheic keratosis,disease
indication,indication,DB00544,Fluorouracil,drug,6563,inverted follicular keratosis,disease
indication,indication,DB00179,Masoprocol,drug,5173,actinic keratosis (disease),disease
indication,indication,DB00179,Masoprocol,drug,5093,skin disease,disease
indication,indication,DB00179,Masoprocol,drug,8420,seborrheic keratosis,disease
indication,indication,DB00179,Masoprocol,drug,6563,inverted follicular keratosis,disease
indication,indication,DB00586,Diclofenac,drug,5173,actinic keratosis (disease),disease
indication,indication,DB00586,Diclofenac,drug,5093,skin disease,disease
indication,indication,DB00586,Diclofenac,drug,8420,seborrheic keratosis,disease
indication,indication,DB00586,Diclofenac,drug,6563,inverted follicular keratosis,disease
indication,indication,DB00855,Aminolevulinic acid,drug,5173,actinic keratosis (disease),disease
indication,indication,DB00855,Aminolevulinic acid,drug,5093,skin disease,disease
indication,indication,DB00855,Aminolevulinic acid,drug,8420,seborrheic keratosis,disease
indication,indication,DB00855,Aminolevulinic acid,drug,6563,inverted follicular keratosis,disease
contraindication,contraindication,DB00938,Salmeterol,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB14512,Mometasone furoate,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00959,Methylprednisolone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00588,Fluticasone propionate,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00983,Formoterol,drug,15288,herpes simplex virus keratitis,disease
indication,indication,DB00432,Trifluridine,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB02703,Fusidic acid,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00591,Fluocinolone acetonide,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB01260,Desonide,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00394,Beclomethasone dipropionate,drug,15288,herpes simplex virus keratitis,disease
indication,indication,DB00249,Idoxuridine,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00635,Prednisone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB15566,Prednisolone acetate,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB01222,Budesonide,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00860,Prednisolone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00741,Hydrocortisone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB01380,Cortisone acetate,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB14539,Hydrocortisone acetate,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB01234,Dexamethasone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00896,Rimexolone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00324,Fluorometholone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB08906,Fluticasone furoate,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00443,Betamethasone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00180,Flunisolide,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00684,Tobramycin,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00634,Sulfacetamide,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00626,Bacitracin,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB09345,Pramocaine,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00281,Lidocaine,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB01410,Ciclesonide,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00620,Triamcinolone,drug,15288,herpes simplex virus keratitis,disease
contraindication,contraindication,DB00672,Chlorpropamide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00222,Glimepiride,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00938,Salmeterol,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB14512,Mometasone furoate,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00959,Methylprednisolone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00588,Fluticasone propionate,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00983,Formoterol,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00279,Liothyronine,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00331,Metformin,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01124,Tolbutamide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01260,Desonide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
indication,indication,DB00624,Testosterone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00635,Prednisone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB06768,Ammonium lactate,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01222,Budesonide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00451,Levothyroxine,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00860,Prednisolone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00741,Hydrocortisone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01380,Cortisone acetate,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB14539,Hydrocortisone acetate,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01234,Dexamethasone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01261,Sitagliptin,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00547,Desoximetasone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00443,Betamethasone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB06335,Saxagliptin,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01047,Fluocinonide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01067,Glipizide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB08869,Tesamorelin,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00663,Flumethasone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00912,Repaglinide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00620,Triamcinolone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00412,Rosiglitazone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
