id,name,type,source
5984,tinea pedis,disease,MONDO
2954,superficial multifocal basal cell carcinoma,disease,MONDO
5173,actinic keratosis (disease),disease,MONDO
5093,skin disease,disease,MONDO
8420,seborrheic keratosis,disease,MONDO
6563,inverted follicular keratosis,disease,MONDO
15288,herpes simplex virus keratitis,disease,MONDO
16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease,MONDO
6594,pemphigus,disease,MONDO
5608,varicella zoster infection,disease,MONDO
4980,atopic eczema,disease,MONDO
11292,"dermatitis, atopic",disease,MONDO
7915,systemic lupus erythematosus (disease),disease,MONDO
19725,pediatric systemic lupus erythematosus,disease,MONDO
5480,contact dermatitis,disease,MONDO
6589,occupational dermatitis,disease,MONDO
4678_18335,dermatophytosis,disease,MONDO_grouped
43233,exfoliative dermatitis,disease,MONDO
15758,primary cutaneous T-cell lymphoma,disease,MONDO
18031,granulomatous slack skin disease,disease,MONDO
6545_44719,erythema multiforme,disease,MONDO_grouped
18229,Stevens-Johnson syndrome,disease,MONDO
15614_6565,dermatitis herpetiformis,disease,MONDO_grouped
5083,psoriasis,disease,MONDO
4609,herpes simplex infectious disease,disease,MONDO
19338,sarcoidosis,disease,MONDO
5105_5012,melanoma,disease,MONDO_grouped
11438,acne (disease),disease,MONDO
19975,pellagra,disease,MONDO
6608_6609,seborrheic dermatitis,disease,MONDO_grouped
6552,folliculitis,disease,MONDO
2406,dermatitis,disease,MONDO
20804,basal cell carcinoma,disease,MONDO
18534,squamous cell carcinoma of liver and intrahepatic biliary tract,disease,MONDO
5191,metastatic melanoma,disease,MONDO
5769,geniculate herpes zoster,disease,MONDO
1461,tinea corporis,disease,MONDO
5982,tinea infection,disease,MONDO
879,cutaneous candidiasis,disease,MONDO
5492,urticaria (disease),disease,MONDO
1628,tinea unguium,disease,MONDO
5915,pityriasis versicolor,disease,MONDO
44211_44212_44213,idiopathic urticaria,disease,MONDO_grouped
19340,scleroderma (disease),disease,MONDO
19562,localized scleroderma,disease,MONDO
4277,gonorrhea,disease,MONDO
5717,contagious pustular dermatitis,disease,MONDO
6544,erythema infectiosum,disease,MONDO
1699,tinea manuum,disease,MONDO
6014,vulvovaginal candidiasis,disease,MONDO
4215,cutaneous anthrax,disease,MONDO
24294_24295,skin disease caused by infection,disease,MONDO_grouped
5609,herpes zoster,disease,MONDO
607,primary cutaneous T-cell non-Hodgkin lymphoma,disease,MONDO
6570,lichen disease,disease,MONDO
19558_4706,discoid lupus erythematosus,disease,MONDO_grouped
15574,chronic cutaneous lupus erythematosus,disease,MONDO
4670_5282_19561,lupus erythematosus,disease,MONDO_grouped
19082,bullous pemphigoid,disease,MONDO
6604,rosacea,disease,MONDO
5883,ophthalmic herpes zoster,disease,MONDO
41008,obsolete contact dermatitis caused by poison oak,disease,MONDO
5124,leprosy,disease,MONDO
6617,vesiculobullous skin disease,disease,MONDO
18746,mucous membrane pemphigoid,disease,MONDO
20548,ocular pemphigoid,disease,MONDO
4497_6718_5976_2897_2896,syphilis,disease,MONDO_grouped
8713,acrodermatitis enteropathica,disease,MONDO
6521,acneiform dermatitis,disease,MONDO
