slug,title,letter,url,alt_titles
a-comparison-of-polarised-and-nonpolarised-dermoscopy,A comparison of polarised and nonpolarised dermoscopy,A,https://dermnetnz.org/topics/a-comparison-of-polarised-and-nonpolarised-dermoscopy,
alpha-1-antitrypsin-deficiency-panniculitis,A1AT deficiency panniculitis,A,https://dermnetnz.org/topics/alpha-1-antitrypsin-deficiency-panniculitis,Alpha-1-antitrypsin deficiency panniculitis | Panniculitis of alpha-1 proteinase inhibitor deficiency
alpha-1-antitrypsin-panniculitis-pathology,A1AT deficiency panniculitis pathology,A,https://dermnetnz.org/topics/alpha-1-antitrypsin-panniculitis-pathology,Alpha-1 antitrypsin deficiency panniculitis pathology | Alpha-1-antitrypsin deficiency panniculitis pathology | MIM 613490 pathology
abcdes-of-melanoma,ABCDEFG of melanoma,A,https://dermnetnz.org/topics/abcdes-of-melanoma,Acronyms for aiding diagnosis of melanoma | Acronyms for screening for melanoma
laser-resurfacing,Ablative laser resurfacing,A,https://dermnetnz.org/topics/laser-resurfacing,Facial resurfacing | Laser resurfacing | Non-ablative laser resurfacing
botulinum-toxin,AbobotulinumtoxinA,A,https://dermnetnz.org/topics/botulinum-toxin,Botulinum toxin A | Jeuveau | Nuceiva | OnabotulinumtoxinA
about-melanoma-for-patients,About melanoma: for patients,A,https://dermnetnz.org/topics/about-melanoma-for-patients,
dermabrasion,Abrasion of skin,A,https://dermnetnz.org/topics/dermabrasion,Dermabrasion | Microdermabrasion | Planing of skin | Sandpapering of skin
granular-cell-tumour,Abrikossoff tumour,A,https://dermnetnz.org/topics/granular-cell-tumour,Granular cell myoblastoma | Granular cell tumour
granular-cell-tumour-pathology,Abrikossoff tumour pathology,A,https://dermnetnz.org/topics/granular-cell-tumour-pathology,Granular cell myoblastoma pathology | Granular cell tumour pathology
abrocitinib,Abrocitinib,A,https://dermnetnz.org/topics/abrocitinib,
isotretinoin,Abscoria,A,https://dermnetnz.org/topics/isotretinoin,Accutane | Claravis | Oratane | Roaccutane
adams-oliver-syndrome,Absence defect of limbs scalp and skull,A,https://dermnetnz.org/topics/adams-oliver-syndrome,Adams Oliver syndrome | Adams-Oliver syndrome | Adams–Oliver syndrome | Aplasia cutis congenita with terminal transverse limb defects | Congenital scalp defects with distal limb reduction | Syndromic aplasia cutis congenita | Type 2 aplasia cutis
