id,name,def,synonyms,xrefs,is_a,alt_ids,is_obsolete
DERMO:0000000,disease,,,"SNOMEDCT_US_2015_03_01:64572001 ""disease""|DOID:4 ""disease""",,,False
DERMO:0000001,cutaneous disease,Diseases originating in the skin and systemic diseases with cutaneous manifestations or sequelae.,,,DERMO:0000000,,False
DERMO:0000002,genodermatosis,,,"SNOMEDCT_US_2015_03_01:5613003 ""genodermatosis""|SNOMEDCT_US_2015_03_01:199879009 ""genodermatosis""|SNOMEDCT_US_2015_03_01:239001006 ""genodermatosis""",DERMO:0000001,,False
DERMO:0000003,psoriasis triggered by bacterial infection,psoriasis where bacterial infection is judged to be the triggering cause with or without genetic predisposition,,,DERMO:0000124|DERMO:0002063,,False
DERMO:0000004,psoriasis triggered by fungal infection,psoriasis where fungal infection is judged to be the triggering cause with or without genetic predisposition,,,DERMO:0000124|DERMO:0002246,,False
DERMO:0000005,disease of keratinization,,,,DERMO:0000002,,False
DERMO:0000006,inherited ectodermal dysplasia disorder,,,,DERMO:0000002,,False
DERMO:0000007,adnexal disease,"Diseases involving the appendages of the skin: the hair, nails, sebaceous glands, sweat glands, and mammary glands.",skin appendages disease,"HP:0011138 ""Abnormality of skin adnexa""",DERMO:0000001,DERMO:0000105,False
DERMO:0000008,HIV-related psoriasis,psoriasis occurring in patients with HIV infection,,,DERMO:0000124|DERMO:0002329,,False
DERMO:0000009,common ichthyosis,,,,,,True
DERMO:0000010,ichthyosis vulgaris,,autosomal dominant ichthyosis|ichthyosis simplex,"SNOMEDCT_US_2015_03_01:205551004 ""ichthyosis vulgaris""|SNOMEDCT_US_2015_03_01:254157005 ""ichthyosis vulgaris""|DERMLEX:3017 ""ichthyosis vulgaris""|DOID:1702 ""ichthyosis vulgaris""|ICD10:Q80.0 ""ichthyosis vulgaris""|OMIM:135940 ""ichthyosis vulgaris""",DERMO:0003288,,False
DERMO:0000011,x-linked recessive ichthyosis,,steroid sulfatase deficiency,"SNOMEDCT_US_2015_03_01:402771003 ""x-linked recessive ichthyosis""|SNOMEDCT_US_2015_03_01:205552006 ""x-linked recessive ichthyosis""|SNOMEDCT_US_2015_03_01:254160003 ""x-linked recessive ichthyosis""|SNOMEDCT_US_2015_03_01:3944006 ""x-linked recessive ichthyosis""|DERMLEX:3042 ""x-linked ichthyosis""|DOID:1700 ""x-linked recessive ichthyosis""",DERMO:0003288,,False
DERMO:0000012,non-syndromic autosomal recessive congenital ichthyosis,,,,DERMO:0003288,,False
DERMO:0000013,harlequin ichthyosis,,harlequin baby|harlequin fetus|ichthyosis congenita gravior,"SNOMEDCT_US_2015_03_01:205548006 ""harlequin ichthyosis""|ICD10:Q80.4 ""harlequin ichthyosis""",DERMO:0000012,,False
DERMO:0000014,late-onset autosomal recessive ichthyosis,,,,DERMO:0000012,,False
DERMO:0000015,keratinopathic ichthyosis,,,,DERMO:0003288,,False
DERMO:0000016,epidermolytic ichthyosis,,bullous congenital ichthyosiform erythroderma|bullous ichthyosis|EHK|EI|epidermolytic hyperkeratosis,"DOID:4603 ""epidermolytic ichthyosis""|HP:0007475 ""epidermolytic ichthyosis""|OMIM:139350 ""epidermolytic ichthyosis""|OMIM:148080 ""epidermolytic ichthyosis""",DERMO:0000774|DERMO:0003288,,False
DERMO:0000017,superficial epidermolytic ichthyosis,,ichthyosis bullosa of siemens|ichthyosis exfoliativa,"OMIM:600194 ""superficial epidermolytic ichthyosis""",DERMO:0003288,,False
DERMO:0000018,ichthyosis en confetti,,confetti ichthyosis|congenital reticular ichthyosiform erythroderma|CRIE|ichthyosis variegata|ichthyosis with confetti,"OMIM:148080 ""ichthyosis en confetti""",DERMO:0000015,,False
DERMO:0000019,ichthyosis hystrix curth-macklin,,IHCM,"DERMLEX:3018 ""ichthyosis hystrix""",DERMO:0000015,,False
DERMO:0000020,non-syndromic ichthyoses and erythrokeratodermas not otherwise specified,,,,,,True
DERMO:0000021,erythrokeratodermia variabilis,,EKV|erythrokeratodermia figurata variabilis|erythrokeratodermia variabilis et progressiva|mendes da costa disease,"SNOMEDCT_US_2015_03_01:70041004 ""erythrokeratodermia variabilis""|DERMLEX:3054 ""erythrokeratodermia variabilis""|DOID:0050467 ""erythrokeratodermia variabilis""|OMIM:603324 ""erythrokeratodermia variabilis""",DERMO:0003308,,False
DERMO:0000022,generalized inflammatory peeling skin syndrome,,,,DERMO:0003300,,False
DERMO:0000023,KLICK syndrome,,keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome,,DERMO:0003298,,False
DERMO:0000024,syndromic ichthyosis or erythrokeratoderma***to go,,,,,,True
DERMO:0000025,ARC syndrome,,arthrogryposis-renal dysfunction-cholestasis syndrome ,"DOID:0050763 ""arc syndrome""",DERMO:0003297,,False
DERMO:0000026,CEDNIK syndrome,,"cerebral dysgenesis, neuropathy, ichthyosis and keratoderma syndrome",,DERMO:0003297,,False
DERMO:0000027,CHILD syndrome,,CHILD nevus|congenital hemidysplasia with ichthyosiform erythroderma and limb defects syndrome|congenital hemidysplasia with ichthyosiform nevus and limb defects syndrome,"SNOMEDCT_US_2015_03_01:17608003 ""child syndrome""|OMIM:300275 ""child syndrome""",DERMO:0003310|DERMO:0003401,,False
DERMO:0000028,conradi-hunermann-happle syndrome,,CDPX2|chondrodysplasia punctata 2 x-linked|conradi-hunermann syndrome|happle syndrome|x-linked dominant chondrodysplasia punctata,,DERMO:0000358|DERMO:0003310|DERMO:0003401,,False
DERMO:0000029,dolichol kinase deficiency,,CDG1M|congenital disorder of glycosylation type 1M,,DERMO:0003288,,False
DERMO:0000030,gaucher disease type 2,,gaucher syndrome type 2,,DERMO:0000525|DERMO:0003288,DERMO:0000527,False
DERMO:0000031,Ichthyosis-hypotrichosis syndrome,,,,DERMO:0003297,,False
DERMO:0000032,ichthyosis-hypotrichosis-sclerosing cholangitis syndrome,,,,DERMO:0003297,,False
DERMO:0000033,"ichthyosis, intellectual disability and spastic quadriplegia",,"ichthyosis, spastic quadriplegia and mental retardation|ISQMR",,DERMO:0003297,,False
DERMO:0000034,ichthyosis prematurity syndrome,,,"OMIM:604194 ""ichthyosis prematurity syndrome""",DERMO:0003297,,False
