id,name,type,source
6732,SRPK1,gene/protein,NCBI
5984,subendocardium layer,anatomy,UBERON
1209,CLPTM1,gene/protein,NCBI
9176,pyrimidine deoxyribonucleoside monophosphate metabolic process,biological_process,GO
2954,GSTZ1,gene/protein,NCBI
5173,PDYN,gene/protein,NCBI
5093,embryonic cement gland,anatomy,UBERON
8420,buccal epithelium,anatomy,UBERON
6563,tunica media of pulmonary trunk,anatomy,UBERON
15288,porin activity,molecular_function,GO
16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease,MONDO
6594,SMARCA1,gene/protein,NCBI
5608,MAP2K6,gene/protein,NCBI
4980,mucosa of ureter,anatomy,UBERON
11292,"dermatitis, atopic",disease,MONDO
7915,ALDH5A1,gene/protein,NCBI
19725,cellular homeostasis,biological_process,GO
5480,superior orbital fissure,anatomy,UBERON
6589,round ligament of uterus,anatomy,UBERON
4678_18335,dermatophytosis,disease,MONDO_grouped
43233,organelle lumen,cellular_component,GO
15758,primary cutaneous T-cell lymphoma,disease,MONDO
18031,peptidyl-lysine N6-palmitoyltransferase activity,molecular_function,GO
6545_44719,erythema multiforme,disease,MONDO_grouped
18229,renin-angiotensin system,anatomy,UBERON
15614_6565,dermatitis herpetiformis,disease,MONDO_grouped
5083,nipple sheath,anatomy,UBERON
6592,transformed vein,anatomy,UBERON
4609,rib 10,anatomy,UBERON
19338,pentachlorophenol catabolic process,biological_process,GO
5105_5012,melanoma,disease,MONDO_grouped
11438,acne (disease),disease,MONDO
19975,interleukin-17 binding,molecular_function,GO
18227,pulmonary lymphatic vessel,anatomy,UBERON
4379,distal epiphysis,anatomy,UBERON
2752,olivocerebellar tract,anatomy,UBERON
3795,KHK,gene/protein,NCBI
5601,MAPK9,gene/protein,NCBI
6045,RNF2,gene/protein,NCBI
6335,SCN9A,gene/protein,NCBI
17327,primary non-gestational choriocarcinoma of ovary,disease,MONDO
5159,PDGFRB,gene/protein,NCBI
2447,palatine gland,anatomy,UBERON
8433,lumbar vertebral arch,anatomy,UBERON
5233,medial-nasal process ectoderm,anatomy,UBERON
6047,RNF4,gene/protein,NCBI
6608_6609,seborrheic dermatitis,disease,MONDO_grouped
6552,leucine catabolic process,biological_process,GO
2406,pericardial sac,anatomy,UBERON
5341_2529_2656_2939_2956_4091,skin carcinoma,disease,MONDO_grouped
